chunk_vid_id,chunk_vid_duration,chunk_vid_dimention,chunk_vid_definition,chunk_vid_caption,chunk_vid_licensedContent,chunk_vid_projection
qntHpRYIJOM,PT12M17S,2d,hd,TRUE,TRUE,rectangular
QldBP574S4I,PT3M54S,2d,hd,FALSE,FALSE,rectangular
mXHAHcVfQIs,PT20M44S,2d,hd,FALSE,TRUE,rectangular
LUGgIynLlPg,PT5M23S,2d,hd,FALSE,TRUE,rectangular
o-y6Q0bANm4,PT3M1S,2d,hd,FALSE,FALSE,rectangular
pkIr5FaNGhU,PT16M28S,2d,hd,FALSE,TRUE,rectangular
3t2jdkDBfPc,PT4M41S,2d,hd,FALSE,TRUE,rectangular
2AkE49hZfr4,PT11M38S,2d,hd,TRUE,TRUE,rectangular
pw3iSkTRJWw,PT21M3S,2d,hd,FALSE,TRUE,rectangular
bsgocWaULIU,PT2M39S,2d,hd,FALSE,TRUE,rectangular
j9nCXKlZaSM,PT32M33S,2d,hd,FALSE,FALSE,rectangular
0PpNlNJ6Nng,PT13M48S,2d,hd,FALSE,TRUE,rectangular
OA0vhAKUD0g,PT45S,2d,sd,FALSE,FALSE,rectangular
VDMOFa8iRqo,PT9M1S,2d,hd,TRUE,FALSE,rectangular
L-ixmHzXl3w,PT6M54S,2d,hd,FALSE,TRUE,rectangular
9_8mXKCBtm0,PT19M57S,2d,hd,FALSE,TRUE,rectangular
5f-DW6Oq2cU,PT4M44S,2d,hd,FALSE,TRUE,rectangular
AuAc1Vhdxz0,PT40M53S,2d,hd,FALSE,TRUE,rectangular
jGEJgk_2UM8,PT16M9S,2d,hd,FALSE,TRUE,rectangular
H8IWLEtFt9A,PT2H45M54S,2d,hd,FALSE,TRUE,rectangular
TZ2mEuBweWY,PT2M43S,2d,hd,FALSE,TRUE,rectangular
H5ZoBYWFxr4,PT10M5S,2d,hd,FALSE,TRUE,rectangular
GVtgu_b7svA,PT59S,2d,hd,FALSE,TRUE,rectangular
JKrqaPn-ulk,PT8M28S,2d,hd,FALSE,FALSE,rectangular
VvlBSgUrNSQ,PT8M43S,2d,hd,FALSE,TRUE,rectangular
QbBNjjZthsg,PT7M24S,2d,hd,TRUE,TRUE,rectangular
5u-nn4Bb4f0,PT4M7S,2d,hd,FALSE,TRUE,rectangular
GgVmn66oK_A,PT4M29S,2d,hd,TRUE,TRUE,rectangular
LuOaMDzyaXE,PT5M,2d,hd,FALSE,TRUE,rectangular
9bLSykjNLGY,PT8M46S,2d,hd,FALSE,TRUE,rectangular
qLxfqXRHup0,PT14M52S,2d,hd,FALSE,TRUE,rectangular
ulduUfiTV7M,PT45M11S,2d,hd,FALSE,TRUE,rectangular
YYOCmR5Lvbw,PT6M24S,2d,hd,FALSE,TRUE,rectangular
4du1KXBl4YU,PT10M59S,2d,hd,FALSE,TRUE,rectangular
1f-94EP6Nk8,PT10M6S,2d,hd,TRUE,TRUE,rectangular
ySJZJ-glsjM,PT12M21S,2d,hd,FALSE,TRUE,rectangular
I2qScVQxjpo,PT15M45S,2d,hd,TRUE,TRUE,rectangular
F9ryLRmaBEM,PT3M40S,2d,hd,FALSE,FALSE,rectangular
IF4Cbb_82l0,PT2H24M28S,2d,hd,FALSE,TRUE,rectangular
ItYOdWRo0JY,PT10M55S,2d,hd,TRUE,TRUE,rectangular
gjXrm2Q-te4,PT1M16S,2d,hd,TRUE,TRUE,rectangular
VsYmwBOYfW8,PT4M27S,2d,hd,TRUE,TRUE,rectangular
kgaO45SyaO4,PT25S,2d,hd,FALSE,TRUE,rectangular
YvfYK0EEhK4,PT2M18S,2d,hd,TRUE,FALSE,rectangular
5530I_pYjbo,PT5M51S,2d,hd,TRUE,TRUE,rectangular
0hKHdzTMAcI,PT31S,2d,hd,FALSE,TRUE,rectangular
bAkEd8r7Nnw,PT10M28S,2d,hd,TRUE,TRUE,rectangular
Ax1P5Q8Kr9g,PT18M50S,2d,hd,FALSE,TRUE,rectangular
LXDAu8DnALw,PT6M56S,2d,hd,TRUE,TRUE,rectangular
ve3oQBjcAGI,PT15M16S,2d,hd,FALSE,TRUE,rectangular
WKMOuDoVxFw,PT46M28S,2d,hd,FALSE,TRUE,rectangular
seGgZp-XYdM,PT1M54S,2d,hd,FALSE,TRUE,rectangular
hbhbu_Kf424,PT4M40S,2d,hd,TRUE,TRUE,rectangular
b-ShNqtj8Yw,PT5M4S,2d,hd,TRUE,TRUE,rectangular
cxMvzK2OQTw,PT2M43S,2d,hd,FALSE,FALSE,rectangular
rBpMYATttsI,PT8M58S,2d,hd,FALSE,TRUE,rectangular
AT_XoYrpcDU,PT2M58S,2d,hd,FALSE,TRUE,rectangular
lSozbwZmq74,PT16M30S,2d,hd,FALSE,TRUE,rectangular
6fv7CqCjiJw,PT12M34S,2d,hd,TRUE,TRUE,rectangular
1SiKopOt-QM,PT15M21S,2d,hd,FALSE,TRUE,rectangular
HnCU20Cu0fs,PT43S,2d,hd,FALSE,FALSE,rectangular
9SK1I0V6U5c,PT5M58S,2d,hd,TRUE,TRUE,rectangular
CtBca6H6Teg,PT5M4S,2d,hd,TRUE,TRUE,rectangular
GTNHqpL0N2g,PT4M10S,2d,hd,FALSE,TRUE,rectangular
Y9nDagqKL7Q,PT17S,2d,hd,FALSE,TRUE,rectangular
w9jjpn6W2to,PT17M16S,2d,hd,FALSE,FALSE,rectangular
wDEA3rpYHnI,PT2M12S,2d,sd,FALSE,FALSE,rectangular
UWOAuTP27eo,PT10M4S,2d,hd,TRUE,TRUE,rectangular
DbJ2s_g1oDc,PT10M51S,2d,hd,TRUE,TRUE,rectangular
xdHmuy1RqCg,PT1M9S,2d,hd,TRUE,TRUE,rectangular
